Timestamp(ms),Current(uA),D0-D7
8150,27.911,00000000
8160,28.044,00000000
8170,28.168,00000000
8180,28.068,00000000
8190,27.776,00000000
8200,27.869,00000000
8210,27.791,00000000
8220,27.516,00000000
8230,27.225,00000000
8240,27.232,00000000
8250,27.301,00000000
8260,27.379,00000000
8270,27.427,00000000
8280,27.447,00000000
8290,27.636,00000000
8300,27.885,00000000
8310,27.735,00000000
8320,28.026,00000000
8330,28.122,00000000
8340,28.023,00000000
8350,27.950,00000000
8360,27.954,00000000
8370,27.901,00000000
8380,27.854,00000000
8390,27.936,00000000
8400,27.851,00000000
8410,27.477,00000000
8420,27.464,00000000
8430,27.128,00000000
8440,27.288,00000000
8450,27.331,00000000
8460,27.420,00000000
8470,27.671,00000000
8480,27.506,00000000
8490,27.710,00000000
8500,27.724,00000000
8510,27.760,00000000
8520,28.020,00000000
8530,28.057,00000000
8540,28.036,00000000
8550,28.061,00000000
8560,28.008,00000000
8570,28.048,00000000
8580,27.993,00000000
8590,27.677,00000000
8600,27.505,00000000
8610,27.479,00000000
8620,27.158,00000000
8630,27.037,00000000
8640,27.250,00000000
8650,27.328,00000000
8660,27.483,00000000
8670,27.671,00000000
8680,27.756,00000000
8690,27.711,00000000
8700,27.820,00000000
8710,28.087,00000000
8720,28.142,00000000
8730,27.863,00000000
8740,27.981,00000000
8750,28.115,00000000
8760,28.025,00000000
8770,27.990,00000000
8780,27.551,00000000
8790,27.666,00000000
8800,27.625,00000000
8810,27.062,00000000
8820,27.296,00000000
8830,27.443,00000000
8840,27.505,00000000
8850,27.621,00000000
8860,27.469,00000000
8870,27.566,00000000
8880,27.735,00000000
8890,27.968,00000000
8900,27.846,00000000
8910,27.951,00000000
8920,27.963,00000000
8930,28.162,00000000
8940,28.091,00000000
8950,28.125,00000000
8960,27.773,00000000
8970,27.682,00000000
8980,27.772,00000000
8990,27.691,00000000
9000,27.223,00000000
9010,27.278,00000000
9020,27.438,00000000
9030,27.482,00000000
9040,27.375,00000000
9050,27.653,00000000
9060,27.647,00000000
9070,27.640,00000000
9080,27.874,00000000
9090,27.795,00000000
9100,28.001,00000000
9110,28.155,00000000
9120,28.011,00000000
9130,27.905,00000000
9140,27.874,00000000
9150,28.029,00000000
9160,27.940,00000000
9170,27.774,00000000
9180,27.317,00000000
9190,27.217,00000000
9200,27.288,00000000
9210,27.320,00000000
9220,27.310,00000000
9230,27.481,00000000
9240,27.711,00000000
9250,27.717,00000000
9260,27.709,00000000
9270,27.702,00000000
9280,27.854,00000000
9290,28.055,00000000
9300,27.975,00000000
9310,27.880,00000000
9320,28.074,00000000
9330,28.084,00000000
9340,28.012,00000000
9350,27.740,00000000
9360,27.756,00000000
9370,27.496,00000000
9380,27.318,00000000
9390,27.062,00000000
9400,27.344,00000000
9410,27.442,00000000
9420,27.518,00000000
9430,27.429,00000000
9440,27.653,00000000
9450,27.859,00000000
9460,27.884,00000000
9470,27.741,00000000
9480,27.994,00000000
9490,28.090,00000000
9500,28.099,00000000
9510,27.824,00000000
9520,28.011,00000000
9530,28.030,00000000
9540,27.898,00000000
9550,27.722,00000000
9560,27.433,00000000
9570,27.335,00000000
9580,27.423,00000000
9590,27.198,00000000
9600,27.408,00000000
9610,27.611,00000000
9620,27.636,00000000
9630,27.534,00000000
9640,27.623,00000000
9650,27.863,00000000
9660,27.860,00000000
9670,27.818,00000000
9680,27.901,00000000
9690,27.866,00000000
9700,28.072,00000000
9710,28.029,00000000
9720,28.086,00000000
9730,27.848,00000000
9740,27.676,00000000
9750,27.669,00000000
9760,27.543,00000000
9770,27.122,00000000
9780,27.189,00000000
9790,27.499,00000000
9800,27.451,00000000
9810,27.367,00000000
9820,27.604,00000000
9830,27.669,00000000
9840,27.777,00000000
9850,27.997,00000000
9860,28.022,00000000
9870,27.895,00000000
9880,27.988,00000000
9890,28.095,00000000
9900,27.997,00000000
9910,27.924,00000000
9920,27.812,00000000
9930,27.907,00000000
9940,27.662,00000000
9950,27.420,00000000
9960,27.082,00000000
9970,27.233,00000000
9980,27.408,00000000
9990,27.364,00000000
10000,27.408,00000000
10010,27.563,00000000
10020,27.787,00000000
10030,27.976,00000000
10040,28.009,00000000
10050,27.793,00000000
10060,28.048,00000000
10070,28.100,00000000
10080,27.928,00000000
10090,28.074,00000000
10100,28.114,00000000
10110,27.837,00000000
10120,27.741,00000000
10130,27.552,00000000
10140,27.321,00000000
10150,27.153,00000000
10160,27.218,00000000
10170,27.364,00000000
10180,27.479,00000000
10190,27.532,00000000
10200,27.615,00000000
10210,27.628,00000000
10220,27.847,00000000
10230,28.001,00000000
10240,27.977,00000000
10250,27.847,00000000
10260,28.046,00000000
10270,28.184,00000000
10280,28.050,00000000
10290,28.012,00000000
10300,27.822,00000000
10310,27.863,00000000
10320,27.741,00000000
10330,27.338,00000000
10340,27.239,00000000
10350,27.259,00000000
10360,27.246,00000000
10370,27.412,00000000
10380,27.419,00000000
10390,27.668,00000000
10400,27.776,00000000
10410,27.724,00000000
10420,27.803,00000000
10430,27.887,00000000
10440,28.095,00000000
10450,28.125,00000000
10460,27.948,00000000
10470,27.946,00000000
10480,27.887,00000000
10490,27.818,00000000
10500,27.983,00000000
10510,27.790,00000000
10520,27.386,00000000
10530,27.343,00000000
10540,27.228,00000000
10550,27.341,00000000
10560,27.246,00000000
10570,27.404,00000000
10580,27.477,00000000
10590,27.805,00000000
10600,27.721,00000000
10610,27.892,00000000
10620,28.039,00000000
10630,28.139,00000000
10640,27.826,00000000
10650,27.912,00000000
10660,27.959,00000000
10670,28.177,00000000
10680,28.037,00000000
10690,27.743,00000000
10700,27.719,00000000
10710,27.653,00000000
10720,27.294,00000000
10730,26.919,00000000
10740,27.307,00000000
10750,27.472,00000000
10760,27.523,00000000
10770,27.516,00000000
10780,27.573,00000000
10790,27.726,00000000
10800,27.890,00000000
10810,28.057,00000000
10820,27.874,00000000
10830,28.013,00000000
10840,28.157,00000000
10850,28.193,00000000
10860,28.091,00000000
10870,27.762,00000000
10880,27.730,00000000
10890,27.679,00000000
10900,27.470,00000000
10910,26.981,00000000
10920,27.205,00000000
10930,27.383,00000000
10940,27.454,00000000
10950,27.456,00000000
10960,27.602,00000000
10970,27.643,00000000
10980,27.901,00000000
10990,27.982,00000000
11000,27.919,00000000
11010,27.819,00000000
11020,28.016,00000000
11030,28.090,00000000
11040,28.045,00000000
11050,27.845,00000000
11060,27.895,00000000
11070,27.915,00000000
11080,27.591,00000000
11090,27.275,00000000
11100,27.092,00000000
11110,27.474,00000000
11120,27.509,00000000
11130,27.290,00000000
11140,27.574,00000000
11150,27.782,00000000
11160,27.840,00000000
11170,27.754,00000000
11180,27.617,00000000
11190,27.825,00000000
11200,28.056,00000000
11210,28.008,00000000
11220,27.947,00000000
11230,27.961,00000000
11240,28.154,00000000
11250,28.003,00000000
11260,27.771,00000000
11270,27.596,00000000
11280,27.229,00000000
11290,27.126,00000000
11300,27.269,00000000
11310,27.367,00000000
11320,27.345,00000000
11330,27.596,00000000
11340,27.819,00000000
11350,27.715,00000000
11360,27.769,00000000
11370,27.776,00000000
11380,27.912,00000000
11390,28.068,00000000
11400,28.118,00000000
11410,27.963,00000000
11420,27.875,00000000
11430,27.958,00000000
11440,27.967,00000000
11450,27.764,00000000
11460,27.465,00000000
11470,27.503,00000000
11480,27.157,00000000
11490,27.124,00000000
11500,27.206,00000000
11510,27.545,00000000
11520,27.617,00000000
11530,27.571,00000000
11540,27.794,00000000
11550,27.858,00000000
11560,27.851,00000000
11570,27.825,00000000
11580,27.864,00000000
11590,28.074,00000000
11600,28.150,00000000
11610,27.923,00000000
11620,27.888,00000000
11630,28.024,00000000
11640,27.867,00000000
11650,27.643,00000000
11660,27.519,00000000
11670,27.106,00000000
11680,27.074,00000000
11690,27.212,00000000
11700,27.540,00000000
11710,27.459,00000000
11720,27.555,00000000
11730,27.841,00000000
11740,27.876,00000000
11750,27.916,00000000
11760,27.828,00000000
11770,27.887,00000000
11780,28.049,00000000
11790,27.938,00000000
11800,28.028,00000000
11810,28.135,00000000
11820,27.997,00000000
11830,27.859,00000000
11840,27.498,00000000
11850,27.506,00000000
11860,27.255,00000000
11870,27.174,00000000
11880,27.257,00000000
11890,27.425,00000000
11900,27.481,00000000
11910,27.669,00000000
11920,27.605,00000000
11930,27.756,00000000
11940,27.972,00000000
11950,28.047,00000000
11960,27.899,00000000
11970,27.910,00000000
11980,28.034,00000000
11990,28.156,00000000
12000,28.056,00000000
12010,27.902,00000000
12020,27.675,00000000
12030,27.646,00000000
12040,27.568,00000000
12050,27.269,00000000
12060,27.101,00000000
12070,27.412,00000000
12080,27.490,00000000
12090,27.554,00000000
12100,27.540,00000000
12110,27.609,00000000
12120,27.936,00000000
12130,28.149,00000000
12140,28.005,00000000
12150,27.935,00000000
12160,28.119,00000000
12170,28.188,00000000
12180,27.761,00000000
12190,27.891,00000000
12200,27.879,00000000
12210,27.838,00000000
12220,27.685,00000000
12230,27.390,00000000
12240,27.114,00000000
12250,27.266,00000000
12260,27.185,00000000
12270,27.366,00000000
12280,27.628,00000000
12290,27.676,00000000
12300,27.790,00000000
12310,27.708,00000000
12320,27.997,00000000
12330,27.985,00000000
12340,27.990,00000000
12350,27.877,00000000
12360,28.141,00000000
12370,28.130,00000000
12380,28.003,00000000
12390,27.763,00000000
12400,27.838,00000000
12410,27.692,00000000
12420,27.516,00000000
12430,27.098,00000000
12440,27.289,00000000
12450,27.384,00000000
12460,27.356,00000000
12470,27.456,00000000
12480,27.829,00000000
12490,27.891,00000000
12500,27.754,00000000
12510,27.700,00000000
12520,27.861,00000000
12530,28.125,00000000
12540,28.005,00000000
12550,27.949,00000000
12560,27.977,00000000
12570,27.932,00000000
12580,28.013,00000000
12590,27.784,00000000
12600,27.595,00000000
12610,27.515,00000000
12620,27.216,00000000
12630,27.215,00000000
12640,27.328,00000000
12650,27.430,00000000
12660,27.486,00000000
